name,type,prefix,price,product,sizeImpression,sku,parentSku,weight,width,variant1Type,variant1Values,variant2Type,variant2Values,alias,amazon.DesCourtes,amazon.title,amazon.Title_FR,aspect,category,CompositeItem,densite,dimentions,dossier,ERPCategory,genre,height,label,length,picture_1,picture_2,picture_3,picture_4,picture_5,picture_6,picture_7
HousseCoussin,alias,,,alias,4843x4843,,,,,,,,,,,,,1,,,300,,/HousseCoussin,,,,,,,,,,,,
L_133,alias,,,alias,4500x4500,,,,,,,,,,,,,1.33,,,300,,/L_133,,,,,,,,,,,,
L_140,alias,,,alias,4500x4500,,,,,,,,,,,,,1.406,,,300,,L_140,,,,,,,,,,,,
L_150,alias,,,alias,4500x4500,,,,,,,,,,,,,1.5,,,300,,/L_150,,,,,,,,,,,,
mugMetal,alias,,,alias,2484x2484,,,,,,,,,,,,,3.14,,,300,,/mugMetal,,,,,,,,,,,,
mugsCeramique,alias,,,alias,2598x2598,,,,,,,,,,,,,2.44,,,300,,/mugsCeramique,,,,,,,,,,,,
P_133,alias,,,alias,4500x4500,,,,,,,,,,,,,0.751,,,300,,/P_133,,,,,,,,,,,,
P_140,alias,,,alias,4500x4500,,,,,,,,,,,,,0.711,,,300,,/P_140,,,,,,,,,,,,
P_150,alias,,,alias,4500x4500,,,,,,,,,,,,,0.666,,,300,,/P_150,,,,,,,,,,,,
poster,alias,,,alias,4500,,,,,,,,,,,,,NaN,,,300,,/poster,,,,,,,,,,,,
tapisDeSouris,alias,,,alias,2835x2835,,,,,,,,,,,,,1.182,,,300,,/tapisDeSouris,,,,,,,,,,,,
TDS_GrandFormat,alias,,,alias,4606x2717,,,,,,,,,,,,,1.700,,,300,,/TDS_GrandFormat,,,,,,,,,,,,
tote,alias,,,alias,4500x4500,,,,,,,,,,,,,0.878,,,300,,/tote,,,,,,,,,,,,
tshirt,alias,,,,,,,,,,,,,,,,,0.711,,,300,,/tshirt,,,,,,,,,,,,
mugceramique11oz,simple,MUG,12.9,simple,,COR_{prefix}_{skuLabel},,,,,,,,mugsCeramique,,Mug céramique {AmazonTitleFr},,,accessories,MugCeramique,,,/mugsCeramique,,unisex,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab1_mgc-blanc_{skuLabel}.png,,,,,,
tshirtHommeColRond,parent,Tsh,22.9,parent,,COR_{prefix}_{skuLabel}_{color}_{taille},COR_Tsh_{Label},120,,color,"white,blue,black,grey,red,pink",taille,"S,M,L,XL",tshirt,,Tshirt Homme col rond {AmazonTitleFr},,,adult,,,,/tshirt,,male,,,,https://storage.googleapis.com/mockup_public_col/{dossier}/fab1_ht-{color_FR}_{skuLabel}.jpg,,,,,,
